cowcode,ccode,year,legis,date_low,date_upp,pty_acrn,pty_name,pty_code,fac_name,fac_code,s_low,ts_low,s_upp,ts_upp,presp,cl_other,cl_altman,cl_deheza,cl_dpi,founded,source
160,ARG,1925,1,1924-03-02T00:00:00Z,1925-03-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Antipersonalista,160189001001,3,158,13,30,1,1,,,,1890,"PHW 1928, p.3/(Gibson 1996, 40)"
160,ARG,1925,1,1924-03-02T00:00:00Z,1925-03-01T00:00:00Z,CONS,Conservative,160187401,,,14,158,8,30,0,0,,,,1874,"PHW 1928, p.3/(Gibson 1996, 40)"
160,ARG,1925,1,1924-03-02T00:00:00Z,1925-03-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Yrigoyenist,160189001002,72,158,4,30,0,0,,,,1890,"PHW 1928, p.3/(Gibson 1996, 40)"
160,ARG,1925,1,1924-03-02T00:00:00Z,1925-03-01T00:00:00Z,PS,Socialista,160189601,Socialist,160189601002,18,158,2,30,0,0,,,,1896,"PHW 1928, p.3/(Gibson 1996, 40)"
160,ARG,1925,1,1924-03-02T00:00:00Z,1925-03-01T00:00:00Z,UCRD,Dissident Radicals,160888801,,,17,158,0,30,0,1,,,,8888,"PHW 1928, p.3/(Gibson 1996, 40)"
160,ARG,1925,1,1924-03-02T00:00:00Z,1925-03-01T00:00:00Z,PDP,Partido Demócrata Progresista,160191401,,,14,158,0,30,0,0,,,,1914,"PHW 1928, p.3/(Gibson 1996, 40)"
160,ARG,1925,1,1924-03-02T00:00:00Z,1925-03-01T00:00:00Z,,Other,160999901,,,15,158,0,30,0,0,,,,9999,"PHW 1928, p.3/(Gibson 1996, 40)"
160,ARG,1926,1,1926-03-07T00:00:00Z,1925-03-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Antipersonalista,160189001001,31,158,13,30,1,1,,,,1890,"PHW 1928, p.3"
160,ARG,1926,1,1926-03-07T00:00:00Z,1925-03-01T00:00:00Z,CONS,Conservative,160187401,,,40,158,8,30,0,0,,,,1874,"PHW 1928, p.3"
160,ARG,1926,1,1926-03-07T00:00:00Z,1925-03-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Yrigoyenist,160189001002,55,158,4,30,0,0,,,,1890,"PHW 1928, p.3"
